CAS,Formula,DHf(kJ/mol),DHf(kcal/mol),IsomericSMILES,Source
594-56-9,C7H14,-86.0,-20.5,CC(=C)C(C)(C)C,Ghahremanpour2016
463-49-0,C3H4,190.6,45.5,C=C=C,Ghahremanpour2016
2738-19-4,C7H14,-85.8,-20.5,CCCC=C(C)C,Ghahremanpour2016
74-99-7,C3H4,184.8,44.2,CC#C,Ghahremanpour2016
112-40-3,C12H26,-290.3,-69.4,CCCCCCCCCCCC,Ghahremanpour2016
66225-16-9,C8H16,-96.5,-23.1,CCCC(C)/C=C\C,Ghahremanpour2016
629-73-2,C16H32,-248.5,-59.4,C(CCCCCCC=C)CCCCCCC,Pedley1986
565-59-3,C7H16,-195.6,-46.7,CCC(C)C(C)C,Ghahremanpour2016
3404-58-8,C8H16,-87.0,-20.8,CCCC(CC)C=C,Ghahremanpour2016
18231-53-3,C8H16,-101.6,-24.3,CCC(=C)C(C)(C)C,Ghahremanpour2016
6094-02-6,C7H14,-77.6,-18.5,CCCCC(=C)C,Ghahremanpour2016
14596-92-0,C6H10,75.5,18.0,CC/C=C\C=C,Ghahremanpour2016
79-29-8,C6H14,-176.9,-42.3,CC(C)C(C)C,Ghahremanpour2016
20184-89-8,C9H16,43.2,10.3,CCCCCC#CCC,Ghahremanpour2016
22768-17-8,C8H16,-105.3,-25.2,CCC/C=C(/C)\CC,Ghahremanpour2016
871-83-0,C10H22,-257.7,-61.6,CCCCCCCC(C)C,Ghahremanpour2016
42067-49-2,C8H16,-100.3,-24.0,CC/C(=C\C)/C(C)C,Ghahremanpour2016
107-00-6,C4H6,165.2,39.5,CCC#C,Ghahremanpour2016
21020-26-8,C7H12,96.8,23.1,CCC(CC)C#C,Ghahremanpour2016
16746-02-4,C8H16,-98.1,-23.4,CCCC(=C)C(C)C,Ghahremanpour2016
7417-48-3,C6H10,111.2,26.6,CCC(=C=C)C,Ghahremanpour2016
4914-91-4,C7H14,-85.6,-20.5,C/C=C(/C)\C(C)C,Ghahremanpour2016
74-85-1,C2H4,52.4,12.5,C=C,Ghahremanpour2016
609-26-7,C8H18,-212.2,-50.7,CCC(CC)C(C)C,Ghahremanpour2016
